Order,Family,Name,Scientific name,Size (cm),Cavity nester type,Reference ,Obligate or Facultative,Occasional,Excavated,Decay-formed,Excavator species,Status,Nearctic,Palearctic,Neotropical,Afrotropical,Oriental,Australasia
Caprimulgiformes,Aegothelidae (Owlet-nightjars),Moluccan Owlet-nightjar,Aegotheles crinifrons,29,Non-excavator,Inferred,Obligate,,,X,,Not Globally Threatened,,,,,,1
Caprimulgiformes,Aegothelidae (Owlet-nightjars),Feline Owlet-nightjar,Aegotheles insignis,28–30,Non-excavator,Inferred,Obligate,,,X,,Not Globally Threatened,,,,,,1
Caprimulgiformes,Aegothelidae (Owlet-nightjars),Allied Owlet-nightjar,Aegotheles affinis,23,Non-excavator,Inferred,Obligate,,,X,,Not assessed,,,,,,1
Caprimulgiformes,Aegothelidae (Owlet-nightjars),Spangled Owlet-nightjar,Aegotheles tatei,25,Non-excavator,Inferred,Obligate,,,X,,Not assessed,,,,,,1
Caprimulgiformes,Aegothelidae (Owlet-nightjars),Barred Owlet-nightjar,Aegotheles bennettii,20–23,Non-excavator,Inferred,Obligate,,,X,,Not globally threatened,,,,,,1
Caprimulgiformes,Aegothelidae (Owlet-nightjars),Wallace's Owlet-nightjar,Aegotheles wallacii,20–23,Non-excavator,Inferred,Obligate,,,X,,Not globally threatened,,,,,,1
Caprimulgiformes,Aegothelidae (Owlet-nightjars),Archbold's Owlet-nightjar,Aegotheles archboldi,18–20,Non-excavator,Inferred,Obligate,,,X,,Not globally threatened,,,,,,1
Caprimulgiformes,Aegothelidae (Owlet-nightjars),Mountain Owlet-nightjar,Aegotheles albertisi,18–20,Non-excavator,Inferred,Obligate,,,X,,Not globally threatened,,,,,,1
Caprimulgiformes,Nyctibiidae (Potoos),Common Potoo,Nyctibius griseus,33–38,Non-excavator,10,Obligate,,,X,,Not globally threatened,,,1,,,
Caprimulgiformes,Nyctibiidae (Potoos),Great Potoo,Nyctibius grandis,45–57,Non-excavator,10,Facultative,,,X,,Not globally threatened,,,1,,,
Caprimulgiformes,Apodidae (Swifts),Cassin's Spinetail,Neafrapus cassini,15,Non-excavator,10,Unknown,,,X,,Not globally threatened,,,,1,,
