cell_id,coast_dist
29633,9065.375202625828
29634,10494.0194502284
29635,11922.663697830973
29636,13744.781310702014
29637,19782.101786930536
29641,11053.701674519094
29642,17863.686375902766
29673,12852.534455694416
29674,9470.22905688039
29675,19488.32414019741
29678,7380.92589164125
29679,5536.670594242896
29680,6499.739335332742
29681,8087.700663865104
29688,25288.655873602027
29755,2673.413075778778
29756,20792.489771453387
29757,38911.56646712799
29758,57030.6431628026
29759,69503.5699812038
29760,78769.8452135077
29761,69716.17745916544
29762,50343.643074296306
29763,39185.94345456337
29764,29996.400348054554
29765,20806.857241545724
29766,8375.232359113257
29767,17911.102064452665
30869,5905.110025169434
30870,1818.4974910834076
30871,8589.194170379724
30872,15359.89084967604
30873,22130.587528972355
30874,28369.703619771375
30875,30985.99786859316
30876,33602.292117414945
30877,36814.99256436629
30878,41229.55603684406
30879,45644.11950932182
30880,50058.68298179959
30881,54473.24645427736
30882,58887.80992675513
30883,62827.441171865474
30884,60632.626322098164
30885,59520.400519375464
30886,64881.571768097216
30887,70551.75507983059
30888,76221.93839156396
30889,81892.12170329737
30890,87562.30501503075
30891,79915.46502454311
30892,61590.65246337507
30893,51559.047621533166
30894,54215.5222579162
30895,60788.74088716439
30896,62355.57604939604
30897,50616.83544721034
30898,43983.00104861624
30899,40393.67439528033
30900,36804.34774194441
30901,34083.61400264754
30902,36349.33010469683
30903,38615.04620674613
30904,38109.14671751532
30905,32925.14637471536
30906,27741.1460319154
30907,22557.14568911544
30908,19325.445804537387
30909,17896.801556934814
30910,16468.15730933224
30911,15039.513061729667
30912,12571.57788785187
30913,6534.25741162335
30914,7496.943225252615
30915,10270.65863952552
30916,13044.374053798423
30917,15504.987441620384
30918,8101.431853143017
30919,697.8762646656515
30920,5490.899260137556
30921,9796.373823969108
30922,14108.906205353895
30923,18445.217630508774
30944,6435.294651124101
30945,876.4948547957933
30946,3787.8599666836208
30947,7170.165365497649
30948,10552.470764311678
30949,13934.776163125709
30950,14076.421005038877
30951,6147.149286213012
30952,318.11659565022984
30953,5510.916094912551
30954,16328.475219054768
30955,29246.071704938913
30956,28463.348177348067
30957,4664.671834893556
30958,19134.004507560952
30960,9320.706613324803
30961,1400.744071901721
30962,6519.218469521365
30963,9558.670950283245
30966,7050.868177994235
30967,4322.013365649049
30968,5704.066379611963
30969,7086.11939357488
30970,15971.251340294724
31030,13451.591061585412
