order,family,sci,com,code,primary,secondary,tree,feral,neil_classification,hallie_classification,notes
Passeriformes,Fringillidae,Coccothraustes abeillei,Hooded Grosbeak,hoogro1,NA,NA,NA,,idk,omit,not a cavity nester
Passeriformes,Troglodytidae,Hylorchilus navai,Nava's Wren,navwre1,NA,NA,NA,,idk,omit,"undescribed; but very similar to Sumichrast's Wren, which nests in ground crevices/caves (not trees)"
Passeriformes,Cardinalidae,Piranga roseogularis,Rose-throated Tanager,rottan1,NA,NA,NA,,idk,omit,no information
Passeriformes,Cardinalidae,Driophlox fuscicauda,Red-throated Ant-Tanager,rtatan1,NA,NA,NA,,idk,omit,not a cavity nester
Passeriformes,Tityridae,Laniocera rufescens,Speckled Mourner,spemou1,NA,NA,NA,,idk,omit,no information; but sister species (cinereous mourner) is listed as having cup nest
Passeriformes,Furnariidae,Lepidocolaptes leucogaster,White-striped Woodcreeper,whswoo1,NA,NA,NA,,idk,good,limited information.  sister species nest in cavities
Passeriformes,Estrildidae,Padda oryzivora,Java Sparrow,javspa,0,1,1,,idk,omit,woven dome/bell-shaped nests
Passeriformes,Formicariidae,Formicarius moniliger,Mayan Antthrush,bkfant2,0,1,1,,idk,good,"no information, but sister species (black-faced antthrush) is described as using cavities (albeit ones that are open to the sky)"
Passeriformes,Furnariidae,Xiphorhynchus flavigaster,Ivory-billed Woodcreeper,ivbwoo1,0,1,1,,idk,good,"limited information, they nest in both tree cavities and holes between roots and trunk, not sure if that counts?"
Passeriformes,Furnariidae,Dendrocolaptes sanctithomae,Northern Barred-Woodcreeper,nobwoo1,0,1,1,,idk,good,
Passeriformes,Furnariidae,Sittasomus griseicapillus,Olivaceous Woodcreeper,oliwoo1,0,1,1,,idk,good,
Passeriformes,Furnariidae,Dendrocincla homochroa,Ruddy Woodcreeper,rudwoo1,0,1,1,,idk,good,
Passeriformes,Furnariidae,Sclerurus guatemalensis,Scaly-throated Leaftosser,sctlea1,1,0,1,,idk,omit,nest in tunnels/burrows
Passeriformes,Furnariidae,Lepidocolaptes affinis,Spot-crowned Woodcreeper,spcwoo1,0,1,1,,idk,good,
Passeriformes,Furnariidae,Xiphorhynchus erythropygius,Spotted Woodcreeper,spowoo1,1,0,1,,idk,good,
Passeriformes,Furnariidae,Xiphocolaptes promeropirhynchus,Strong-billed Woodcreeper,stbwoo1,0,1,1,,idk,good,only three nests have been recorded and they were all in nest boxes
Passeriformes,Furnariidae,Anabacerthia variegaticeps,Scaly-throated Foliage-gleaner,stfgle1,0,1,1,,idk,good,
Passeriformes,Furnariidae,Lepidocolaptes souleyetii,Streak-headed Woodcreeper,sthwoo1,0,1,1,,idk,good,
Passeriformes,Furnariidae,Dendrocincla anabatina,Tawny-winged Woodcreeper,tawwoo1,0,1,1,,idk,good,they also nest in root clusters
Passeriformes,Furnariidae,Glyphorynchus spirurus,Wedge-billed Woodcreeper,webwoo1,0,1,1,,idk,good,nest in cavities but also root clusters and vine tangles
Passeriformes,Hirundinidae,Progne chalybea,Gray-breasted Martin,gybmar,0,1,1,,idk,good,"Gray-breasted Martin are obligate cavity adopters (Winkler and Sheldon 1993), nesting in woodpecker holes, arboreal termite nests, on cliffs, under piers or jetties, corners of beams, under the eaves or in roofs of buildings, and in drainpipes or nest boxes"
Passeriformes,Thraupidae,Thraupis abbas,Yellow-winged Tanager,yewtan1,0,1,1,,idk,omit,they have been observed to take nesting material to tree cavities but it seems like that is rare
Passeriformes,Tityridae,Tityra inquisitor,Black-crowned Tityra,blctit1,0,1,1,,idk,good,
Passeriformes,Tityridae,Tityra semifasciata,Masked Tityra,mastit1,0,1,1,,idk,good,
Passeriformes,Tyrannidae,Attila spadiceus,Bright-rumped Attila,brratt1,0,1,1,,idk,omit,not an obligate cavity nester
Passeriformes,Tyrannidae,Ramphotrigon flammulatum,Flammulated Flycatcher,flafly1,0,1,1,,idk,good,
Passeriformes,Tyrannidae,Pitangus sulphuratus,Great Kiskadee,grekis,0,1,1,,idk,omit,pretty sure this isn't a cavity nester
Passeriformes,Tyrannidae,Legatus leucophaius,Piratic Flycatcher,pirfly1,0,1,1,,idk,omit,
Passeriformes,Tyrannidae,Rhytipterna holerythra,Rufous Mourner,rufmou1,0,1,1,,idk,omit,"The nest and eggs of Rufous Mourner have not been described, but they ""nest apparently in tree cavities such as [an] old woodpecker hole"""
Passeriformes,Tyrannidae,Sayornis saya,Say's Phoebe,saypho,0,1,1,,idk,omit,pretty sure not a cavity nester - it says they rarely nest in cavities
Passeriformes,Tyrannidae,Myiozetetes similis,Social Flycatcher,socfly1,0,1,1,,idk,omit,rarely uses tree cavities
Passeriformes,Tyrannidae,Myiodynastes maculatus,Streaked Flycatcher,strfly1,0,1,1,,idk,omit,"nests in cavities, bases of palm stems, bromeliads, on houses and window sills"
Passeriformes,Tyrannidae,Myiodynastes luteiventris,Sulphur-bellied Flycatcher,subfly,0,1,1,,idk,good,
Piciformes,Bucconidae,Notharchus hyperrhynchus,White-necked Puffbird,whnpuf2,1,0,1,,idk,good,
Piciformes,Galbulidae,Galbula ruficauda,Rufous-tailed Jacamar,rutjac1,1,0,1,,idk,omit,burrows
Piciformes,Ramphastidae,Pteroglossus torquatus,Collared Aracari,colara1,0,1,1,,idk,good,
Piciformes,Ramphastidae,Ramphastos sulfuratus,Keel-billed Toucan,kebtou1,0,1,1,,idk,good,
Piciformes,Ramphastidae,Aulacorhynchus prasinus,Northern Emerald-Toucanet,noremt1,0,1,1,,idk,good,
Psittaciformes,Psittacidae,Psittacara strenuus,Pacific Parakeet,pacpar1,NA,NA,NA,0,idk,good,"not much information, ""possibly"" nests in tree cavities. I looked at photos and saw both tree cavities and cliff nests"
Psittaciformes,Psittacidae,Bolborhynchus lineola,Barred Parakeet,barpar1,0,1,1,0,idk,good,unknown
Psittaciformes,Psittacidae,Aratinga nenday,Nanday Parakeet,bkhpar,0,1,1,1,idk,good,Widespread feral populations in North America. Nest in tree cavities and fence posts
Psittaciformes,Psittacidae,Pyrilia haematotis,Brown-hooded Parrot,brhpar1,0,1,1,0,idk,good,"limited information, but it says they do nest in a tree cavity. Has one feral population in Mexico, but has a greater amount of native populations"
Psittaciformes,Psittacidae,Thectocercus acuticaudatus,Blue-crowned Parakeet,bucpar,0,1,1,1,idk,omit,a few feral populations in North America
Psittaciformes,Psittacidae,Psittacara holochlorus,Green Parakeet,grnpar,0,1,1,0,idk,good,"nests in cavities and cliffs. Native populations in Mexico, feral populations in US (widespread)"
Psittaciformes,Psittacidae,Amazona finschi,Lilac-crowned Amazon,licpar,0,1,1,0,idk,good,"mostly feral populations, but widespread across Mexico"
Psittaciformes,Psittacidae,Amazona farinosa,Mealy Amazon,meapar,0,1,1,0,idk,good,"feral populations in US and Mexico, some native populations in Mexico"
Psittaciformes,Psittacidae,Forpus cyanopygius,Mexican Parrotlet,mexpar1,0,1,1,0,idk,good,"mostly native populations in Mexico, 2 feral. Nest mostly in tree cavities but also cactus cavities"
Psittaciformes,Psittacidae,Ara militaris,Military Macaw,milmac,0,1,1,0,idk,good,"feral populations in US, widespread native in mexico. Nest in trees and cliffs"
Psittaciformes,Psittacidae,Psittacara mitratus,Mitred Parakeet,mitpar,0,1,1,1,idk,good,feral populations in US and Mexico. nest in trees and cliffs
Psittaciformes,Psittacidae,Eupsittula nana,Olive-throated Parakeet,oltpar1,1,1,1,0,idk,good,"mostly native populations in Mexico, a few feral. Seems like they nest mostly in termitariums"
Psittaciformes,Psittacidae,Brotogeris jugularis,Orange-chinned Parakeet,orcpar,0,1,1,0,idk,good,"Nest in cavities, palm stubs, termitariums"
Psittaciformes,Psittacidae,Eupsittula canicularis,Orange-fronted Parakeet,orfpar,1,1,1,0,idk,good,"nest mostly in termitariums, a lot of feral populations in North America"
Psittaciformes,Psittacidae,Amazona amazonica,Orange-winged Amazon,orwpar,0,1,1,1,idk,good,small feral populations in North America
Psittaciformes,Psittacidae,Amazona viridigenalis,Red-crowned Amazon,recpar,0,1,1,0,idk,good,"mostly feral, widespread in North America"
Psittaciformes,Psittacidae,Amazona autumnalis,Red-lored Amazon,relpar,0,1,1,0,idk,good,"many feral populations in North America, some native in mexico. But they mostly nest in palm stubs"
Psittaciformes,Psittacidae,Psittacara erythrogenys,Red-masked Parakeet,rempar,0,1,1,1,idk,good,"feral in North America, nest also in cliffs"
Psittaciformes,Psittacidae,Psittacula krameri,Rose-ringed Parakeet,rorpar,0,1,1,1,idk,good,"widespread feral in North America. nest in cavities, but also rock faces and ruined walls"
Psittaciformes,Psittacidae,Ara macao,Scarlet Macaw,scamac1,0,1,1,0,idk,good,"mostly feral in North America, small native population in Mexico"
Psittaciformes,Psittacidae,Pionus senilis,White-crowned Parrot,whcpar,0,1,1,1,idk,good,"mostly native in Mexico, a few feral populations. But, it says they prefer to nest in palm stubs over tree cavities"
Psittaciformes,Psittacidae,Psittacara leucophthalmus,White-eyed Parakeet,whepar2,0,1,1,1,idk,good,small feral populations in North America
Psittaciformes,Psittacidae,Amazona albifrons,White-fronted Amazon,whfpar1,0,1,1,0,idk,good,"a good amount of feral populations, mostly native in Mexico"
Psittaciformes,Psittacidae,Brotogeris versicolurus,White-winged Parakeet,whwpar,0,1,1,1,idk,good,"feral in North America, also nest in things other than tree cavities"
Psittaciformes,Psittacidae,Amazona oratrix,Yellow-headed Amazon,yehpar,0,1,1,1,idk,good,"a good amount of feral populations, some native in Mexico"
Psittaciformes,Psittacidae,Amazona xantholora,Yellow-lored Amazon,yelpar1,0,1,1,1,idk,good,"little information, theres a couple feral populations and some native in southern mexico."
Psittaciformes,Psittacidae,Amazona auropalliata,Yellow-naped Amazon,yenpar1,0,1,1,0,idk,good,mostly feral in North America
Strigiformes,Strigidae,Asio otus,Long-eared Owl,loeowl,0,1,1,,idk,omit,don't think they usually nest in cavities?? borderline
Strigiformes,Strigidae,Strix virgata,Mottled Owl,motowl,0,1,1,,idk,good,"usually nests in tree cavities, but when tree cavities are scarce they can nest in other birds nests or on ground"
Trogoniformes,Trogonidae,Trogon caligatus,Gartered Trogon,gartro1,0,1,1,,idk,good,
Anseriformes,Anatidae,Anas rubripes,American Black Duck,ambduc,0,1,1,,omit,,
Anseriformes,Anatidae,Alopochen aegyptiaca,Egyptian Goose,egygoo,0,1,1,,omit,,
Anseriformes,Anatidae,Anas platyrhynchos,Mallard,mallar3,0,1,1,,omit,,
Anseriformes,Anatidae,Anas fulvigula,Mottled Duck,motduc,0,1,1,,omit,,
Caprimulgiformes,Apodidae,Chaetura pelagica,Chimney Swift,chiswi,0,1,1,,omit,,
Charadriiformes,Scolopacidae,Tringa solitaria,Solitary Sandpiper,solsan,0,1,1,,omit,,
Columbiformes,Columbidae,Zenaida aurita,Zenaida Dove,zendov,0,1,1,,omit,,
Falconiformes,Falconidae,Falco columbarius,Merlin,merlin,0,1,1,,omit,,
Falconiformes,Falconidae,Falco peregrinus,Peregrine Falcon,perfal,0,1,1,,omit,,
Galliformes,Cracidae,Ortalis vetula,Plain Chachalaca,placha,0,1,1,,omit,,
Galliformes,Odontophoridae,Philortyx fasciatus,Banded Quail,banqua1,NA,NA,NA,,omit,,
NA,NA,Icterus maculialatus,Bar-winged Oriole,bawori1,NA,NA,NA,,omit,,
NA,NA,Himantopus mexicanus,Black-necked Stilt,bknsti,NA,NA,NA,,omit,,
NA,NA,Peucaea humeralis,Black-chested Sparrow,blcspa1,NA,NA,NA,,omit,,
NA,NA,Haematopus bachmani,Black Oystercatcher,blkoys,NA,NA,NA,,omit,,
NA,NA,Cyanolyca pumilo,Black-throated Jay,bltjay1,NA,NA,NA,,omit,,
NA,NA,Amaurospiza concolor,Blue Seedeater,blusee1,NA,NA,NA,,omit,,
NA,NA,Cyanocorax colliei,Black-throated Magpie-Jay,btmjay,NA,NA,NA,,omit,,
NA,NA,Ardea ibis,Western Cattle-Egret,categr1,NA,NA,NA,,omit,,
NA,NA,Peucaea sumichrasti,Cinnamon-tailed Sparrow,citspa1,NA,NA,NA,,omit,,
NA,NA,Calonectris borealis/diomedea,Cory's/Scopoli's Shearwater,corshe,NA,NA,NA,,omit,,
NA,NA,Cynanthus forficatus,Cozumel Emerald,cozeme1,NA,NA,NA,,omit,,
NA,NA,Butorides virescens,Green Heron,grnher,NA,NA,NA,,omit,,
NA,NA,Aphelocoma insularis,Island Scrub-Jay,issjay,NA,NA,NA,,omit,,
NA,NA,Sturnella lilianae,Chihuahuan Meadowlark,lilmea2,NA,NA,NA,,omit,,
NA,NA,Larus brachyrhynchus,Short-billed Gull,mewgul2,NA,NA,NA,,omit,,
NA,NA,Anas diazi,Mexican Duck,mexduc,NA,NA,NA,,omit,,
NA,NA,Phaethornis mexicanus,Mexican Hermit,mexher1,NA,NA,NA,,omit,,
NA,NA,Nannopterum brasilianum,Neotropic Cormorant,neocor,NA,NA,NA,,omit,,
NA,NA,Astur atricapillus,American Goshawk,norgos,NA,NA,NA,,omit,,
NA,NA,Aimophila notosticta,Oaxaca Sparrow,oaxspa1,NA,NA,NA,,omit,,
NA,NA,Cyrtonyx ocellatus,Ocellated Quail,ocequa1,NA,NA,NA,,omit,,
NA,NA,Porphyrio poliocephalus,Gray-headed Swamphen,purswa3,NA,NA,NA,,omit,,
NA,NA,Loxia sinesciuris,Cassia Crossbill,redcro9,NA,NA,NA,,omit,,
NA,NA,Ortalis wagleri,Rufous-bellied Chachalaca,rubcha1,NA,NA,NA,,omit,,
NA,NA,Basileuterus delattrii,Chestnut-capped Warbler,rucwar4,NA,NA,NA,,omit,,
NA,NA,Phaeochroa cuvierii,Scaly-breasted Hummingbird,scbhum1,NA,NA,NA,,omit,,
NA,NA,Euphonia godmani,West Mexican Euphonia,screup3,NA,NA,NA,,omit,,
NA,NA,Dactylortyx thoracicus,Singing Quail,sinqua1,NA,NA,NA,,omit,,
NA,NA,Doricha enicura,Slender Sheartail,sleshe1,NA,NA,NA,,omit,,
NA,NA,Polioptila bilineata,White-browed Gnatcatcher,trogna2,NA,NA,NA,,omit,,
